instance,n,prob,num_type,value
15-7,20,0.3,orig_minAB_obj,2197
15-7,20,0.3,orig_simpl_obj,2839
15-8,20,0.3,orig_minAB_obj,2110
15-8,20,0.3,orig_simpl_obj,2157
15-9,20,0.3,orig_minAB_obj,3285
15-9,20,0.3,orig_simpl_obj,3063
15-10,20,0.3,orig_minAB_obj,2778
15-10,20,0.3,orig_simpl_obj,2869
15-11,20,0.3,orig_minAB_obj,2098
15-11,20,0.3,orig_simpl_obj,2787
15-12,20,0.3,orig_minAB_obj,2630
15-12,20,0.3,orig_simpl_obj,2865
15-13,20,0.3,orig_minAB_obj,3192
15-13,20,0.3,orig_simpl_obj,2635
15-14,20,0.3,orig_minAB_obj,2037
15-14,20,0.3,orig_simpl_obj,2742
15-15,20,0.3,orig_minAB_obj,3026
15-15,20,0.3,orig_simpl_obj,3929
15-16,20,0.3,orig_minAB_obj,3092
15-16,20,0.3,orig_simpl_obj,2992
15-17,20,0.3,orig_minAB_obj,2586
15-17,20,0.3,orig_simpl_obj,2975
15-18,20,0.3,orig_minAB_obj,3620
15-18,20,0.3,orig_simpl_obj,3970
15-19,20,0.3,orig_minAB_obj,3256
15-19,20,0.3,orig_simpl_obj,3300
15-20,20,0.3,orig_minAB_obj,2484
15-20,20,0.3,orig_simpl_obj,2525
15-21,20,0.3,orig_minAB_obj,3369
15-21,20,0.3,orig_simpl_obj,3164
15-22,20,0.3,orig_minAB_obj,2624
15-22,20,0.3,orig_simpl_obj,2827
15-23,20,0.3,orig_minAB_obj,2406
15-23,20,0.3,orig_simpl_obj,2245
15-24,20,0.3,orig_minAB_obj,3350
15-24,20,0.3,orig_simpl_obj,3626
15-25,20,0.3,orig_minAB_obj,3597
15-25,20,0.3,orig_simpl_obj,3203
15-26,20,0.3,orig_minAB_obj,2663
15-26,20,0.3,orig_simpl_obj,2793
15-27,20,0.3,orig_minAB_obj,3787
15-27,20,0.3,orig_simpl_obj,4198
15-28,20,0.3,orig_minAB_obj,3572
15-28,20,0.3,orig_simpl_obj,3623
15-29,20,0.3,orig_minAB_obj,1376
15-29,20,0.3,orig_simpl_obj,1537
15-30,20,0.3,orig_minAB_obj,2821
15-30,20,0.3,orig_simpl_obj,3103
