instance,inversions,reducedA,reducedB,gen_trial
523,55,True,True,1
524,41,True,True,1
525,35,True,True,1
526,52,True,True,1
527,39,True,True,1
528,54,True,True,1
529,60,True,True,1
530,51,True,True,1
531,60,True,True,1
532,41,True,True,1
533,60,True,True,1
534,38,True,True,1
535,62,True,True,1
536,65,True,True,1
537,51,True,True,1
538,68,True,True,1
539,66,True,True,1
540,49,True,True,1
541,64,True,True,1
542,38,True,True,1
543,48,True,True,1
544,56,True,True,1
545,63,True,True,1
546,49,True,True,1
547,54,True,True,1
548,61,True,True,1
549,47,True,True,1
550,49,True,True,1
551,41,True,True,1
552,46,True,True,1
553,52,True,True,1
554,48,True,True,1
555,55,True,True,1
556,54,True,True,1
557,55,True,True,1
558,57,True,True,1
559,78,True,True,1
560,61,True,True,1
561,44,True,True,1
562,48,True,True,1
563,36,True,True,1
564,79,True,True,1
565,50,True,True,1
566,78,True,True,1
567,47,True,True,1
568,66,True,True,1
569,67,True,True,1
570,48,True,True,1
571,55,True,True,1
572,43,True,True,1
573,46,True,True,1
574,45,True,True,1
575,46,True,True,1
576,46,True,True,1
577,42,True,True,1
578,64,True,True,1
579,50,True,True,1
580,64,True,True,1
581,35,True,True,1
582,41,True,True,1
583,62,True,True,1
584,28,True,True,1
585,53,True,True,1
586,52,True,True,1
587,58,True,True,1
588,53,True,True,1
589,62,True,True,1
590,44,True,True,1
591,63,True,True,1
592,40,True,True,1
593,64,True,True,1
594,60,True,True,1
595,55,True,True,1
596,73,True,True,1
597,60,True,True,1
598,52,True,True,1
599,50,True,True,1
600,53,True,True,1
601,40,True,True,1
602,66,True,True,1
603,56,True,True,1
604,56,True,True,1
605,52,True,True,1
606,61,True,True,1
607,34,True,True,1
608,49,True,True,1
609,50,True,True,1
610,55,True,True,1
611,47,True,True,1
612,48,True,True,1
613,63,True,True,1
614,68,True,True,1
615,48,True,True,1
616,57,True,True,1
617,50,True,True,1
618,41,True,True,1
619,39,True,True,1
620,55,True,True,1
621,61,True,True,1
622,47,True,True,1
623,71,True,True,1
624,42,True,True,1
625,57,True,True,1
626,68,True,True,1
627,55,True,True,1
628,46,True,True,1
629,26,True,True,1
630,76,True,True,1
631,66,True,True,1
