k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
692, optimal, 13.3, 12, 26.7, 26.7, 6.7, 0.7
693, optimal, 46.7, 8, 20.0, 93.3, 73.3, 0.4
694, optimal, 40.0, 12, 26.7, 93.3, 73.3, 0.4
695, optimal, 46.7, 4, 20.0, 80.0, 66.7, 0.5
696, optimal, 66.7, 120, 66.7, 100.0, 33.3, 0.5
697, optimal, 26.7, 4, 13.3, 73.3, 66.7, 0.5
698, optimal, 40.0, 48, 46.7, 93.3, 46.7, 0.4
699, optimal, 53.3, 4, 13.3, 73.3, 60.0, 0.7
700, optimal, 40.0, 2, 6.7, 26.7, 26.7, 0.6
701, optimal, 46.7, 6, 40.0, 73.3, 60.0, 0.5
702, optimal, 60.0, 9, 33.3, 93.3, 66.7, 0.6
703, optimal, 26.7, 4, 13.3, 66.7, 53.3, 0.4
704, optimal, 53.3, 8, 26.7, 100.0, 73.3, 0.4
705, optimal, 53.3, 24, 40.0, 100.0, 66.7, 0.5
706, optimal, 53.3, 4, 13.3, 86.7, 73.3, 0.5
707, optimal, 40.0, 12, 26.7, 80.0, 60.0, 0.4
708, optimal, 73.3, 18, 33.3, 100.0, 66.7, 0.4
709, optimal, 60.0, 4, 13.3, 86.7, 73.3, 0.5
710, optimal, 53.3, 24, 40.0, 86.7, 46.7, 0.4
711, optimal, 53.3, 6, 20.0, 73.3, 60.0, 0.5
712, optimal, 53.3, 8, 20.0, 80.0, 60.0, 0.4
713, optimal, 46.7, 2, 6.7, 60.0, 60.0, 0.7
714, optimal, 46.7, 6, 20.0, 80.0, 66.7, 0.5
715, optimal, 26.7, 8, 20.0, 73.3, 53.3, 0.4
716, optimal, 60.0, 2, 6.7, 60.0, 60.0, 0.4
717, optimal, 33.3, 4, 13.3, 60.0, 46.7, 0.4
718, optimal, 26.7, 6, 20.0, 46.7, 33.3, 0.6
719, optimal, 33.3, 2, 6.7, 93.3, 93.3, 0.6
720, optimal, 73.3, 4, 20.0, 100.0, 80.0, 0.5
721, optimal, 26.7, 2, 6.7, 53.3, 53.3, 0.5
722, optimal, 26.7, 10, 60.0, 86.7, 40.0, 0.5
723, optimal, 73.3, 2, 6.7, 86.7, 86.7, 0.5
724, optimal, 13.3, 16, 46.7, 60.0, 26.7, 0.4
725, optimal, 20.0, 4, 13.3, 53.3, 40.0, 0.4
726, optimal, 66.7, 2, 6.7, 86.7, 86.7, 0.4
727, optimal, 40.0, 48, 46.7, 73.3, 26.7, 0.4
728, optimal, 26.7, 6, 93.3, 66.7, 46.7, 0.5
729, optimal, 40.0, 8, 53.3, 93.3, 60.0, 0.5
730, optimal, 33.3, 8, 26.7, 53.3, 33.3, 0.5
731, optimal, 53.3, 4, 40.0, 93.3, 60.0, 0.6
732, optimal, 46.7, 12, 26.7, 73.3, 46.7, 0.4
733, optimal, 40.0, 14, 46.7, 80.0, 53.3, 0.4
734, optimal, 86.7, 2, 6.7, 86.7, 86.7, 0.6
735, optimal, 60.0, 8, 26.7, 93.3, 80.0, 0.6
736, optimal, 53.3, 4, 13.3, 73.3, 60.0, 0.5
737, optimal, 20.0, 2, 6.7, 40.0, 40.0, 0.6
738, optimal, 46.7, 4, 20.0, 73.3, 66.7, 0.5
739, optimal, 60.0, 6, 20.0, 100.0, 86.7, 0.6
740, optimal, 33.3, 30, 60.0, 86.7, 26.7, 0.5
741, optimal, 53.3, 4, 13.3, 73.3, 66.7, 0.6
742, optimal, 73.3, 2, 6.7, 86.7, 86.7, 0.5
743, optimal, 60.0, 6, 20.0, 100.0, 80.0, 0.4
744, optimal, 73.3, 48, 46.7, 86.7, 46.7, 0.4
745, optimal, 40.0, 12, 26.7, 73.3, 46.7, 0.4
746, optimal, 33.3, 48, 46.7, 73.3, 26.7, 0.4
747, optimal, 66.7, 8, 26.7, 86.7, 66.7, 0.5
748, optimal, 66.7, 4, 40.0, 80.0, 40.0, 0.5
749, optimal, 80.0, 48, 80.0, 100.0, 33.3, 0.5
750, optimal, 80.0, 12, 26.7, 80.0, 60.0, 0.4
751, optimal, 60.0, 2, 6.7, 73.3, 73.3, 0.4
752, optimal, 40.0, 28, 53.3, 100.0, 53.3, 0.5
753, optimal, 46.7, 4, 13.3, 66.7, 60.0, 0.5
754, optimal, 60.0, 16, 33.3, 73.3, 46.7, 0.4
755, optimal, 80.0, 14, 40.0, 100.0, 60.0, 0.5
756, optimal, 26.7, 6, 26.7, 53.3, 33.3, 0.5
757, optimal, 66.7, 3, 13.3, 73.3, 66.7, 0.5
758, optimal, 40.0, 4, 46.7, 86.7, 46.7, 0.5
759, optimal, 80.0, 6, 33.3, 93.3, 73.3, 0.6
760, optimal, 80.0, 16, 33.3, 86.7, 66.7, 0.4
761, optimal, 53.3, 12, 33.3, 73.3, 46.7, 0.5
762, optimal, 46.7, 2, 6.7, 53.3, 53.3, 0.5
763, optimal, 33.3, 12, 26.7, 80.0, 53.3, 0.4
764, optimal, 53.3, 5, 26.7, 86.7, 73.3, 0.4
765, optimal, 46.7, 6, 20.0, 73.3, 53.3, 0.5
766, optimal, 40.0, 4, 13.3, 66.7, 53.3, 0.6
767, optimal, 66.7, 6, 20.0, 93.3, 73.3, 0.6
768, optimal, 46.7, 1, 0.0, 73.3, 73.3, 0.5
769, optimal, 53.3, 24, 40.0, 80.0, 46.7, 0.4
770, optimal, 66.7, 48, 46.7, 100.0, 53.3, 0.4
771, optimal, 53.3, 1, 0.0, 86.7, 86.7, 0.5
772, optimal, 20.0, 6, 20.0, 73.3, 60.0, 0.8
773, optimal, 33.3, 4, 13.3, 66.7, 60.0, 0.4
774, optimal, 46.7, 10, 40.0, 80.0, 46.7, 0.5
775, optimal, 46.7, 2, 6.7, 73.3, 73.3, 0.6
776, optimal, 40.0, 4, 13.3, 60.0, 53.3, 0.5
777, optimal, 13.3, 4, 13.3, 46.7, 40.0, 0.6
778, optimal, 100.0, 12, 66.7, 100.0, 66.7, 0.5
779, optimal, 40.0, 1, 0.0, 60.0, 60.0, 0.6
780, optimal, 80.0, 18, 33.3, 100.0, 66.7, 0.4
781, optimal, 53.3, 9, 93.3, 86.7, 40.0, 0.5
782, optimal, 53.3, 4, 13.3, 46.7, 40.0, 0.6
783, optimal, 40.0, 42, 93.3, 100.0, 13.3, 0.6
784, optimal, 66.7, 2, 6.7, 60.0, 60.0, 0.6
785, optimal, 46.7, 8, 26.7, 80.0, 53.3, 0.7
786, optimal, 46.7, 6, 20.0, 46.7, 26.7, 0.5
787, optimal, 53.3, 6, 40.0, 93.3, 60.0, 0.5
