run,k,n,method,step,time
test,35,20,gen_instance,all, 9.5
test,35,20,plain_MIP,build+solve,3.2
test,35,20,CPP,BDD-build,176.8
test,35,20,CPP,MIP-build,25.5
test,35,20,CPP,MIP-solve,19.9
test,35,20,CPP,VS-build+solve,14.0
test,35,20,CPP,BDD-align-to-vs,147.9
test,35,20,CPP,intersection-build,7.5
test,35,20,CPP,intersection-SP-solve,1.0
test,36,20,gen_instance,all, 9.6
test,36,20,plain_MIP,build+solve,3.0
test,36,20,CPP,BDD-build,137.1
test,36,20,CPP,MIP-build,22.7
test,36,20,CPP,MIP-solve,16.0
test,36,20,CPP,VS-build+solve,63.6
test,36,20,CPP,BDD-align-to-vs,95.3
test,36,20,CPP,intersection-build,6.0
test,36,20,CPP,intersection-SP-solve,1.8
test,37,20,gen_instance,all, 8.7
test,37,20,plain_MIP,build+solve,2.3
test,37,20,CPP,BDD-build,111.5
test,37,20,CPP,MIP-build,18.3
test,37,20,CPP,MIP-solve,13.5
test,37,20,CPP,VS-build+solve,74.2
test,37,20,CPP,BDD-align-to-vs,87.6
test,37,20,CPP,intersection-build,7.3
test,37,20,CPP,intersection-SP-solve,1.5
test,38,20,gen_instance,all, 9.1
test,38,20,plain_MIP,build+solve,3.0
test,38,20,CPP,BDD-build,85.8
test,38,20,CPP,MIP-build,14.6
test,38,20,CPP,MIP-solve,9.9
test,38,20,CPP,VS-build+solve,12.3
test,38,20,CPP,BDD-align-to-vs,53.6
test,38,20,CPP,intersection-build,7.2
test,38,20,CPP,intersection-SP-solve,1.9
test,39,20,gen_instance,all, 8.9
test,39,20,plain_MIP,build+solve,2.4
test,39,20,CPP,BDD-build,208.1
test,39,20,CPP,MIP-build,25.4
test,39,20,CPP,MIP-solve,19.5
test,39,20,CPP,VS-build+solve,37.1
test,39,20,CPP,BDD-align-to-vs,141.4
test,39,20,CPP,intersection-build,11.0
test,39,20,CPP,intersection-SP-solve,2.6
test,40,20,gen_instance,all, 15.6
test,40,20,plain_MIP,build+solve,2.7
test,40,20,CPP,BDD-build,96.2
test,40,20,CPP,MIP-build,15.3
test,40,20,CPP,MIP-solve,11.7
test,40,20,CPP,VS-build+solve,54.0
test,40,20,CPP,BDD-align-to-vs,71.1
test,40,20,CPP,intersection-build,8.6
test,40,20,CPP,intersection-SP-solve,2.2
test,41,20,gen_instance,all, 8.4
test,41,20,plain_MIP,build+solve,2.2
test,41,20,CPP,BDD-build,91.5
test,41,20,CPP,MIP-build,12.8
test,41,20,CPP,MIP-solve,9.3
test,41,20,CPP,VS-build+solve,69.7
test,41,20,CPP,BDD-align-to-vs,128.1
test,41,20,CPP,intersection-build,46.4
test,41,20,CPP,intersection-SP-solve,1.6
test,42,20,gen_instance,all, 8.6
test,42,20,plain_MIP,build+solve,2.1
test,42,20,CPP,BDD-build,61.6
test,42,20,CPP,MIP-build,11.5
test,42,20,CPP,MIP-solve,6.9
test,42,20,CPP,VS-build+solve,50.2
test,42,20,CPP,BDD-align-to-vs,57.9
test,42,20,CPP,intersection-build,4.8
test,42,20,CPP,intersection-SP-solve,1.2
test,43,20,gen_instance,all, 9.6
test,43,20,plain_MIP,build+solve,2.9
test,43,20,CPP,BDD-build,187.7
test,43,20,CPP,MIP-build,30.0
test,43,20,CPP,MIP-solve,18.6
test,43,20,CPP,VS-build+solve,88.3
test,43,20,CPP,BDD-align-to-vs,205.5
test,43,20,CPP,intersection-build,9.4
test,43,20,CPP,intersection-SP-solve,2.7
test,44,20,gen_instance,all, 8.0
test,44,20,plain_MIP,build+solve,1.7
test,44,20,CPP,BDD-build,135.1
test,44,20,CPP,MIP-build,61.6
test,44,20,CPP,MIP-solve,16.2
test,44,20,CPP,VS-build+solve,22.0
test,44,20,CPP,BDD-align-to-vs,82.7
test,44,20,CPP,intersection-build,8.8
test,44,20,CPP,intersection-SP-solve,1.8
test,45,20,gen_instance,all, 8.3
test,45,20,plain_MIP,build+solve,1.8
test,45,20,CPP,BDD-build,160.4
test,45,20,CPP,MIP-build,28.5
test,45,20,CPP,MIP-solve,25.4
test,45,20,CPP,VS-build+solve,52.4
test,45,20,CPP,BDD-align-to-vs,199.8
test,45,20,CPP,intersection-build,18.3
test,45,20,CPP,intersection-SP-solve,3.9
test,46,20,gen_instance,all, 9.5
test,46,20,plain_MIP,build+solve,3.1
test,46,20,CPP,BDD-build,136.8
test,46,20,CPP,MIP-build,19.4
test,46,20,CPP,MIP-solve,14.4
test,46,20,CPP,VS-build+solve,72.0
test,46,20,CPP,BDD-align-to-vs,135.7
test,46,20,CPP,intersection-build,8.1
test,46,20,CPP,intersection-SP-solve,1.9
test,47,20,gen_instance,all, 7.5
test,47,20,plain_MIP,build+solve,0.8
test,47,20,CPP,BDD-build,257.4
test,47,20,CPP,MIP-build,38.6
test,47,20,CPP,MIP-solve,19.7
test,47,20,CPP,VS-build+solve,58.9
test,47,20,CPP,BDD-align-to-vs,266.1
test,47,20,CPP,intersection-build,8.7
test,47,20,CPP,intersection-SP-solve,1.0
test,48,20,gen_instance,all, 8.3
test,48,20,plain_MIP,build+solve,1.5
test,48,20,CPP,BDD-build,106.1
test,48,20,CPP,MIP-build,17.0
test,48,20,CPP,MIP-solve,10.4
test,48,20,CPP,VS-build+solve,40.2
test,48,20,CPP,BDD-align-to-vs,89.4
test,48,20,CPP,intersection-build,3.9
test,48,20,CPP,intersection-SP-solve,0.5
test,49,20,gen_instance,all, 9.2
test,49,20,plain_MIP,build+solve,2.5
test,49,20,CPP,BDD-build,129.9
test,49,20,CPP,MIP-build,19.3
test,49,20,CPP,MIP-solve,11.5
