run,k,n,method,step,time
test,46,20,CPP,BDD-align-to-vs,135.1
test,46,20,CPP,intersection-build,12.2
test,46,20,CPP,intersection-SP-solve,2.8
test,47,20,gen_instance,all, 12.5
test,47,20,plain_MIP,build+solve,2.1
test,47,20,CPP,BDD-build,261.4
test,47,20,CPP,MIP-build,40.6
test,47,20,CPP,MIP-solve,26.1
test,47,20,CPP,VS-build+solve,37.7
test,47,20,CPP,BDD-align-to-vs,102.1
test,47,20,CPP,intersection-build,12.3
test,47,20,CPP,intersection-SP-solve,1.2
test,48,20,gen_instance,all, 11.6
test,48,20,plain_MIP,build+solve,1.5
test,48,20,CPP,BDD-build,167.3
test,48,20,CPP,MIP-build,32.8
test,48,20,CPP,MIP-solve,16.7
test,48,20,CPP,VS-build+solve,35.0
test,48,20,CPP,BDD-align-to-vs,81.1
test,48,20,CPP,intersection-build,13.1
test,48,20,CPP,intersection-SP-solve,2.9
test,49,20,gen_instance,all, 12.2
test,49,20,plain_MIP,build+solve,2.0
test,49,20,CPP,BDD-build,149.0
test,49,20,CPP,MIP-build,23.5
test,49,20,CPP,MIP-solve,11.5
test,49,20,CPP,VS-build+solve,8.6
test,49,20,CPP,BDD-align-to-vs,38.8
test,49,20,CPP,intersection-build,7.4
test,49,20,CPP,intersection-SP-solve,1.4
test,50,20,gen_instance,all, 15.8
test,50,20,plain_MIP,build+solve,6.0
test,50,20,CPP,BDD-build,277.2
test,50,20,CPP,MIP-build,38.5
test,50,20,CPP,MIP-solve,20.6
test,50,20,CPP,VS-build+solve,38.0
test,50,20,CPP,BDD-align-to-vs,134.9
test,50,20,CPP,intersection-build,15.4
test,50,20,CPP,intersection-SP-solve,4.3
test,51,20,gen_instance,all, 13.3
test,51,20,plain_MIP,build+solve,2.3
test,51,20,CPP,BDD-build,237.1
test,51,20,CPP,MIP-build,46.1
test,51,20,CPP,MIP-solve,31.9
test,51,20,CPP,VS-build+solve,83.1
test,51,20,CPP,BDD-align-to-vs,164.7
test,51,20,CPP,intersection-build,11.7
test,51,20,CPP,intersection-SP-solve,2.0
test,52,20,gen_instance,all, 11.8
test,52,20,plain_MIP,build+solve,1.8
test,52,20,CPP,BDD-build,273.9
test,52,20,CPP,MIP-build,112.5
test,52,20,CPP,MIP-solve,26.0
test,52,20,CPP,VS-build+solve,79.7
test,52,20,CPP,BDD-align-to-vs,155.1
test,52,20,CPP,intersection-build,23.9
test,52,20,CPP,intersection-SP-solve,5.8
test,53,20,gen_instance,all, 14.4
test,53,20,plain_MIP,build+solve,4.1
test,53,20,CPP,BDD-build,225.0
test,53,20,CPP,MIP-build,38.2
test,53,20,CPP,MIP-solve,28.1
test,53,20,CPP,VS-build+solve,51.9
test,53,20,CPP,BDD-align-to-vs,111.1
test,53,20,CPP,intersection-build,24.2
test,53,20,CPP,intersection-SP-solve,4.8
test,54,20,gen_instance,all, 23.5
test,54,20,plain_MIP,build+solve,2.1
test,54,20,CPP,BDD-build,164.6
test,54,20,CPP,MIP-build,28.7
test,54,20,CPP,MIP-solve,14.6
test,54,20,CPP,VS-build+solve,76.8
test,54,20,CPP,BDD-align-to-vs,136.4
test,54,20,CPP,intersection-build,5.9
test,54,20,CPP,intersection-SP-solve,1.9
test,55,20,gen_instance,all, 12.3
test,55,20,plain_MIP,build+solve,1.8
test,55,20,CPP,BDD-build,168.4
test,55,20,CPP,MIP-build,27.2
test,55,20,CPP,MIP-solve,18.5
test,55,20,CPP,VS-build+solve,95.4
test,55,20,CPP,BDD-align-to-vs,88.1
test,55,20,CPP,intersection-build,10.4
test,55,20,CPP,intersection-SP-solve,1.8
test,56,20,gen_instance,all, 12.1
test,56,20,plain_MIP,build+solve,1.8
test,56,20,CPP,BDD-build,302.3
test,56,20,CPP,MIP-build,44.4
test,56,20,CPP,MIP-solve,20.3
test,56,20,CPP,VS-build+solve,114.7
test,56,20,CPP,BDD-align-to-vs,134.4
test,56,20,CPP,intersection-build,14.8
test,56,20,CPP,intersection-SP-solve,3.6
test,57,20,gen_instance,all, 11.6
test,57,20,plain_MIP,build+solve,1.5
test,57,20,CPP,BDD-build,111.1
test,57,20,CPP,MIP-build,24.1
test,57,20,CPP,MIP-solve,12.6
test,57,20,CPP,VS-build+solve,9.9
test,57,20,CPP,BDD-align-to-vs,46.8
test,57,20,CPP,intersection-build,4.3
test,57,20,CPP,intersection-SP-solve,0.5
test,58,20,gen_instance,all, 12.6
test,58,20,plain_MIP,build+solve,1.8
test,58,20,CPP,BDD-build,224.3
test,58,20,CPP,MIP-build,41.7
test,58,20,CPP,MIP-solve,19.6
test,58,20,CPP,VS-build+solve,45.5
test,58,20,CPP,BDD-align-to-vs,104.0
test,58,20,CPP,intersection-build,14.4
test,58,20,CPP,intersection-SP-solve,4.4
test,59,20,gen_instance,all, 11.9
test,59,20,plain_MIP,build+solve,2.1
test,59,20,CPP,BDD-build,155.9
test,59,20,CPP,MIP-build,35.9
test,59,20,CPP,MIP-solve,14.7
test,59,20,CPP,VS-build+solve,0.8
test,59,20,CPP,BDD-align-to-vs,60.5
test,59,20,CPP,intersection-build,63.1
test,59,20,CPP,intersection-SP-solve,2.2
test,60,20,gen_instance,all, 11.7
test,60,20,plain_MIP,build+solve,2.0
test,60,20,CPP,BDD-build,382.9
test,60,20,CPP,MIP-build,64.4
test,60,20,CPP,MIP-solve,31.7
test,60,20,CPP,VS-build+solve,79.5
test,60,20,CPP,BDD-align-to-vs,247.0
test,60,20,CPP,intersection-build,15.4
test,60,20,CPP,intersection-SP-solve,1.7
test,61,20,gen_instance,all, 14.9
test,61,20,plain_MIP,build+solve,5.1
test,61,20,CPP,BDD-build,205.9
test,61,20,CPP,MIP-build,43.2
test,61,20,CPP,MIP-solve,26.2
test,61,20,CPP,VS-build+solve,140.5
test,61,20,CPP,BDD-align-to-vs,120.4
test,61,20,CPP,intersection-build,15.1
test,61,20,CPP,intersection-SP-solve,4.4
test,62,20,gen_instance,all, 20.0
test,62,20,plain_MIP,build+solve,9.9
test,62,20,CPP,BDD-build,164.3
test,62,20,CPP,MIP-build,84.9
test,62,20,CPP,MIP-solve,18.5
test,62,20,CPP,VS-build+solve,19.8
test,62,20,CPP,BDD-align-to-vs,89.7
test,62,20,CPP,intersection-build,13.0
test,62,20,CPP,intersection-SP-solve,2.0
test,63,20,gen_instance,all, 12.3
test,63,20,plain_MIP,build+solve,2.1
test,63,20,CPP,BDD-build,180.9
test,63,20,CPP,MIP-build,31.0
test,63,20,CPP,MIP-solve,14.5
test,63,20,CPP,VS-build+solve,12.4
test,63,20,CPP,BDD-align-to-vs,75.6
test,63,20,CPP,intersection-build,7.4
test,63,20,CPP,intersection-SP-solve,0.7
test,64,20,gen_instance,all, 11.7
test,64,20,plain_MIP,build+solve,1.4
test,64,20,CPP,BDD-build,218.0
test,64,20,CPP,MIP-build,33.8
test,64,20,CPP,MIP-solve,11.6
test,64,20,CPP,VS-build+solve,96.5
test,64,20,CPP,BDD-align-to-vs,127.6
test,64,20,CPP,intersection-build,6.8
test,64,20,CPP,intersection-SP-solve,1.0
test,65,20,gen_instance,all, 24.2
test,65,20,plain_MIP,build+solve,5.5
test,65,20,CPP,BDD-build,242.2
test,65,20,CPP,MIP-build,42.9
test,65,20,CPP,MIP-solve,18.1
