k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
465, optimal, 52.4, 144, 42.9, 90.5, 47.6, 2.4
466, optimal, 47.6, 240, 52.4, 76.2, 23.8, 2.6
467, optimal, 28.6, 2, 4.8, 66.7, 66.7, 3.0
468, optimal, 66.7, 12, 19.0, 90.5, 71.4, 2.4
469, optimal, 57.1, 42, 42.9, 85.7, 57.1, 2.4
470, optimal, 61.9, 28, 28.6, 76.2, 52.4, 2.6
471, optimal, 38.1, 4, 9.5, 47.6, 42.9, 3.6
472, optimal, 19.0, 24, 23.8, 71.4, 47.6, 2.8
473, optimal, 61.9, 2, 4.8, 100.0, 100.0, 4.0
474, optimal, 42.9, 4, 9.5, 85.7, 76.2, 3.5
475, optimal, 33.3, 36, 90.5, 52.4, 19.0, 2.8
476, optimal, 47.6, 120, 47.6, 85.7, 38.1, 2.3
477, optimal, 28.6, 16, 33.3, 81.0, 52.4, 3.1
478, optimal, 47.6, 4, 9.5, 76.2, 71.4, 2.9
479, optimal, 57.1, 2, 4.8, 71.4, 71.4, 3.5
480, optimal, 66.7, 13, 42.9, 100.0, 66.7, 4.0
481, optimal, 19.0, 12, 19.0, 42.9, 23.8, 3.2
482, optimal, 33.3, 8, 19.0, 81.0, 61.9, 3.0
483, optimal, 38.1, 4, 19.0, 71.4, 57.1, 3.1
484, optimal, 52.4, 240, 52.4, 95.2, 42.9, 2.6
485, optimal, 42.9, 32, 42.9, 71.4, 42.9, 2.6
486, optimal, 47.6, 42, 42.9, 76.2, 33.3, 2.5
487, optimal, 52.4, 40, 33.3, 66.7, 38.1, 2.5
488, optimal, 61.9, 2, 4.8, 61.9, 61.9, 2.9
489, optimal, 81.0, 48, 33.3, 76.2, 47.6, 2.5
490, optimal, 28.6, 10, 61.9, 66.7, 33.3, 3.8
491, optimal, 23.8, 10, 19.0, 66.7, 47.6, 4.0
492, optimal, 47.6, 1, 0.0, 85.7, 85.7, 3.0
493, optimal, 28.6, 6, 14.3, 57.1, 47.6, 2.6
494, optimal, 52.4, 4, 9.5, 66.7, 61.9, 3.6
495, optimal, 47.6, 1, 0.0, 71.4, 71.4, 3.1
496, optimal, 28.6, 3, 9.5, 52.4, 47.6, 3.1
497, optimal, 57.1, 2, 4.8, 90.5, 90.5, 3.6
498, optimal, 52.4, 16, 23.8, 76.2, 57.1, 3.8
499, optimal, 57.1, 6, 14.3, 95.2, 81.0, 3.3
