instance,num_type,step,LB,UB,comment
64,steplog,70,182,182,--none--
64,steplog,72,182,182,status:optimal
64,timelog,72,0.3193819522857666,0,--none--
65,steplog,10,178,242,--none--
65,steplog,20,233,234,--none--
65,steplog,26,234,234,status:optimal
65,timelog,26,0.13345074653625488,0,--none--
66,steplog,10,253,281,--none--
66,steplog,16,281,281,status:optimal
66,timelog,16,0.07508373260498047,0,--none--
67,steplog,10,360,416,--none--
67,steplog,20,360,416,--none--
67,steplog,30,360,416,--none--
67,steplog,40,401,404,--none--
67,steplog,44,404,404,status:optimal
67,timelog,44,0.17220473289489746,0,--none--
68,steplog,10,116,172,--none--
68,steplog,20,116,166,--none--
68,steplog,30,116,164,--none--
68,steplog,40,125,163,--none--
68,steplog,50,135,154,--none--
68,steplog,60,138,152,--none--
68,steplog,69,150,150,status:optimal
68,timelog,69,0.3299586772918701,0,--none--
69,steplog,10,157,269,--none--
69,steplog,20,190,218,--none--
69,steplog,30,199,217,--none--
69,steplog,40,211,211,--none--
69,steplog,40,211,211,status:optimal
69,timelog,40,0.23806524276733398,0,--none--
6,steplog,10,305,319,--none--
6,steplog,15,319,319,status:optimal
6,timelog,15,0.09565401077270508,0,--none--
70,steplog,10,53,77,--none--
70,steplog,20,56,77,--none--
70,steplog,30,59,77,--none--
70,steplog,40,77,77,--none--
70,steplog,41,77,77,status:optimal
70,timelog,41,0.19205141067504883,0,--none--
71,steplog,10,108,257,--none--
71,steplog,20,155,229,--none--
71,steplog,30,184,206,--none--
71,steplog,40,204,204,--none--
71,steplog,41,204,204,status:optimal
71,timelog,41,0.30160069465637207,0,--none--
72,steplog,10,105,292,--none--
72,steplog,20,105,290,--none--
72,steplog,30,155,236,--none--
72,steplog,40,209,224,--none--
72,steplog,50,222,222,--none--
72,steplog,51,222,222,status:optimal
72,timelog,51,0.2594609260559082,0,--none--
73,steplog,10,116,389,--none--
73,steplog,20,116,386,--none--
73,steplog,30,211,286,--none--
73,steplog,40,253,286,--none--
73,steplog,50,267,283,--none--
73,steplog,60,278,280,--none--
73,steplog,65,279,279,status:optimal
73,timelog,65,0.3921012878417969,0,--none--
74,steplog,10,125,172,--none--
74,steplog,20,141,143,--none--
74,steplog,24,143,143,status:optimal
74,timelog,24,0.10666751861572266,0,--none--
75,steplog,10,69,156,--none--
75,steplog,20,87,156,--none--
75,steplog,30,117,133,--none--
75,steplog,40,129,131,--none--
75,steplog,44,131,131,status:optimal
75,timelog,44,0.21373867988586426,0,--none--
76,steplog,10,252,256,--none--
76,steplog,15,255,255,status:optimal
76,timelog,15,0.08691668510437012,0,--none--
