N,instance,num_type,value,comment
23,1809,orig_gsifts1p_time,305.6556203365326,--none--
23,1809,orig_gsifts1p_obj,36717,--none--
16,1186,simpl_opt_status,0,optimal
16,1186,orig_simpl_time,0.11086726188659668,--none--
16,1186,orig_simpl_obj,1671,--none--
16,1186,gsifts_status,aligned,--none--
16,1186,orig_gsifts1p_time,2.1054697036743164,--none--
16,1186,orig_gsifts1p_obj,2332,--none--
24,1906,simpl_opt_status,0,optimal
24,1906,orig_simpl_time,0.6315901279449463,--none--
24,1906,orig_simpl_obj,23152,--none--
24,1906,gsifts_status,aligned,--none--
24,1906,orig_gsifts1p_time,237.00456166267395,--none--
24,1906,orig_gsifts1p_obj,60932,--none--
23,1899,simpl_opt_status,0,optimal
23,1899,orig_simpl_time,0.8019866943359375,--none--
23,1899,orig_simpl_obj,24601,--none--
23,1899,gsifts_status,aligned,--none--
23,1899,orig_gsifts1p_time,299.9125144481659,--none--
23,1899,orig_gsifts1p_obj,74762,--none--
16,1115,simpl_opt_status,0,optimal
16,1115,orig_simpl_time,0.08822369575500488,--none--
16,1115,orig_simpl_obj,630,--none--
16,1115,gsifts_status,aligned,--none--
16,1115,orig_gsifts1p_time,0.7354710102081299,--none--
16,1115,orig_gsifts1p_obj,411,--none--
22,1742,simpl_opt_status,0,optimal
22,1742,orig_simpl_time,0.46636462211608887,--none--
22,1742,orig_simpl_obj,12179,--none--
22,1742,gsifts_status,aligned,--none--
22,1742,orig_gsifts1p_time,84.66500234603882,--none--
22,1742,orig_gsifts1p_obj,16847,--none--
17,1266,simpl_opt_status,0,optimal
17,1266,orig_simpl_time,0.11499714851379395,--none--
17,1266,orig_simpl_obj,717,--none--
17,1266,gsifts_status,aligned,--none--
17,1266,orig_gsifts1p_time,1.9815740585327148,--none--
17,1266,orig_gsifts1p_obj,463,--none--
8,357,simpl_opt_status,0,optimal
8,357,orig_simpl_time,0.011333703994750977,--none--
8,357,orig_simpl_obj,74,--none--
8,357,gsifts_status,aligned,--none--
8,357,orig_gsifts1p_time,0.026964187622070312,--none--
8,357,orig_gsifts1p_obj,69,--none--
8,382,simpl_opt_status,0,optimal
8,382,orig_simpl_time,0.011311769485473633,--none--
8,382,orig_simpl_obj,54,--none--
8,382,gsifts_status,aligned,--none--
8,382,orig_gsifts1p_time,0.018096446990966797,--none--
8,382,orig_gsifts1p_obj,47,--none--
22,1718,simpl_opt_status,0,optimal
22,1718,orig_simpl_time,0.2989771366119385,--none--
22,1718,orig_simpl_obj,6996,--none--
22,1718,gsifts_status,aligned,--none--
22,1718,orig_gsifts1p_time,37.74180865287781,--none--
22,1718,orig_gsifts1p_obj,7724,--none--
6,151,simpl_opt_status,0,optimal
6,151,orig_simpl_time,0.0063533782958984375,--none--
6,151,orig_simpl_obj,43,--none--
6,151,gsifts_status,aligned,--none--
6,151,orig_gsifts1p_time,0.012542247772216797,--none--
6,151,orig_gsifts1p_obj,42,--none--
15,1051,simpl_opt_status,0,optimal
15,1051,orig_simpl_time,0.19559526443481445,--none--
15,1051,orig_simpl_obj,574,--none--
15,1051,gsifts_status,aligned,--none--
15,1051,orig_gsifts1p_time,0.5350110530853271,--none--
15,1051,orig_gsifts1p_obj,576,--none--
19,1467,simpl_opt_status,0,optimal
19,1467,orig_simpl_time,0.25121521949768066,--none--
19,1467,orig_simpl_obj,3662,--none--
19,1467,gsifts_status,aligned,--none--
19,1467,orig_gsifts1p_time,17.370580434799194,--none--
19,1467,orig_gsifts1p_obj,5758,--none--
24,1903,simpl_opt_status,0,optimal
24,1903,orig_simpl_time,0.6939430236816406,--none--
24,1903,orig_simpl_obj,25832,--none--
24,1903,gsifts_status,aligned,--none--
24,1903,orig_gsifts1p_time,446.24592089653015,--none--
24,1903,orig_gsifts1p_obj,36005,--none--
17,1218,simpl_opt_status,0,optimal
17,1218,orig_simpl_time,0.13050389289855957,--none--
17,1218,orig_simpl_obj,1475,--none--
17,1218,gsifts_status,aligned,--none--
17,1218,orig_gsifts1p_time,3.2216720581054688,--none--
17,1218,orig_gsifts1p_obj,1153,--none--
15,1029,simpl_opt_status,0,optimal
15,1029,orig_simpl_time,0.13385319709777832,--none--
15,1029,orig_simpl_obj,357,--none--
15,1029,gsifts_status,aligned,--none--
15,1029,orig_gsifts1p_time,0.43709564208984375,--none--
15,1029,orig_gsifts1p_obj,232,--none--
8,362,simpl_opt_status,0,optimal
8,362,orig_simpl_time,0.009042978286743164,--none--
8,362,orig_simpl_obj,48,--none--
8,362,gsifts_status,aligned,--none--
8,362,orig_gsifts1p_time,0.019783735275268555,--none--
8,362,orig_gsifts1p_obj,43,--none--
12,795,simpl_opt_status,0,optimal
12,795,orig_simpl_time,0.05050015449523926,--none--
12,795,orig_simpl_obj,246,--none--
12,795,gsifts_status,aligned,--none--
12,795,orig_gsifts1p_time,0.12591004371643066,--none--
12,795,orig_gsifts1p_obj,199,--none--
21,1603,simpl_opt_status,0,optimal
21,1603,orig_simpl_time,0.3148682117462158,--none--
21,1603,orig_simpl_obj,6658,--none--
21,1603,gsifts_status,aligned,--none--
21,1603,orig_gsifts1p_time,23.333739280700684,--none--
21,1603,orig_gsifts1p_obj,6508,--none--
9,436,simpl_opt_status,0,optimal
9,436,orig_simpl_time,0.013500690460205078,--none--
9,436,orig_simpl_obj,42,--none--
9,436,gsifts_status,aligned,--none--
9,436,orig_gsifts1p_time,0.01633000373840332,--none--
9,436,orig_gsifts1p_obj,34,--none--
14,987,simpl_opt_status,0,optimal
14,987,orig_simpl_time,0.03701424598693848,--none--
14,987,orig_simpl_obj,230,--none--
14,987,gsifts_status,aligned,--none--
14,987,orig_gsifts1p_time,0.15176868438720703,--none--
14,987,orig_gsifts1p_obj,213,--none--
19,1477,simpl_opt_status,0,optimal
19,1477,orig_simpl_time,0.43098950386047363,--none--
19,1477,orig_simpl_obj,2972,--none--
19,1477,gsifts_status,aligned,--none--
19,1477,orig_gsifts1p_time,13.589470386505127,--none--
19,1477,orig_gsifts1p_obj,2965,--none--
10,505,simpl_opt_status,0,optimal
10,505,orig_simpl_time,0.03154492378234863,--none--
10,505,orig_simpl_obj,90,--none--
10,505,gsifts_status,aligned,--none--
10,505,orig_gsifts1p_time,0.04311537742614746,--none--
10,505,orig_gsifts1p_obj,87,--none--
19,1449,simpl_opt_status,0,optimal
