instance,num_type,step,LB,UB,comment
1045,steplog,28,1142,1142,status:optimal
1045,timelog,28,0.06470608711242676,0,--none--
1046,steplog,10,716,880,--none--
1046,steplog,20,767,779,--none--
1046,steplog,26,779,779,status:optimal
1046,timelog,26,0.057517290115356445,0,--none--
1047,steplog,10,971,1128,--none--
1047,steplog,20,1055,1108,--none--
1047,steplog,30,1082,1108,--none--
1047,steplog,40,1098,1104,--none--
1047,steplog,49,1103,1103,status:optimal
1047,timelog,49,0.09952545166015625,0,--none--
1048,steplog,10,843,1033,--none--
1048,steplog,20,993,1033,--none--
1048,steplog,29,1019,1019,status:optimal
1048,timelog,29,0.06462574005126953,0,--none--
1049,steplog,10,753,934,--none--
1049,steplog,20,798,868,--none--
1049,steplog,30,814,852,--none--
1049,steplog,40,823,842,--none--
1049,steplog,50,830,842,--none--
1049,steplog,60,834,839,--none--
1049,steplog,69,839,839,status:optimal
1049,timelog,69,0.14772486686706543,0,--none--
104,steplog,10,2005,2581,--none--
104,steplog,20,2258,2301,--none--
104,steplog,30,2297,2300,--none--
104,steplog,32,2298,2298,status:optimal
104,timelog,32,0.07092952728271484,0,--none--
1050,steplog,10,2342,2371,--none--
1050,steplog,20,2367,2370,--none--
1050,steplog,21,2367,2367,status:optimal
1050,timelog,21,0.04391813278198242,0,--none--
1051,steplog,10,2262,2502,--none--
1051,steplog,20,2440,2446,--none--
1051,steplog,24,2446,2446,status:optimal
1051,timelog,24,0.050908803939819336,0,--none--
1052,steplog,10,706,1170,--none--
1052,steplog,20,762,977,--none--
1052,steplog,30,809,929,--none--
1052,steplog,40,859,929,--none--
1052,steplog,50,882,929,--none--
1052,steplog,60,899,922,--none--
1052,steplog,70,905,922,--none--
1052,steplog,80,917,921,--none--
1052,steplog,90,918,919,--none--
1052,steplog,90,919,919,status:optimal
1052,timelog,90,0.19297289848327637,0,--none--
1053,steplog,10,878,1059,--none--
1053,steplog,20,977,1009,--none--
1053,steplog,30,1002,1007,--none--
1053,steplog,40,1006,1007,--none--
1053,steplog,40,1007,1007,status:optimal
1053,timelog,40,0.08182501792907715,0,--none--
1054,steplog,10,1052,1109,--none--
1054,steplog,20,1095,1100,--none--
1054,steplog,24,1099,1099,status:optimal
1054,timelog,24,0.05154061317443848,0,--none--
1055,steplog,10,2756,3142,--none--
1055,steplog,20,3072,3142,--none--
1055,steplog,28,3142,3142,status:optimal
1055,timelog,28,0.06400656700134277,0,--none--
1056,steplog,10,1650,1953,--none--
1056,steplog,20,1820,1953,--none--
1056,steplog,30,1898,1917,--none--
1056,steplog,39,1913,1913,status:optimal
1056,timelog,39,0.08077692985534668,0,--none--
1057,steplog,10,804,975,--none--
1057,steplog,20,837,881,--none--
1057,steplog,30,853,881,--none--
1057,steplog,40,861,881,--none--
1057,steplog,50,870,881,--none--
1057,steplog,60,879,881,--none--
1057,steplog,64,881,881,status:optimal
1057,timelog,64,0.1327829360961914,0,--none--
1058,steplog,10,1010,1270,--none--
1058,steplog,20,1130,1186,--none--
1058,steplog,30,1178,1186,--none--
1058,steplog,39,1185,1185,status:optimal
1058,timelog,39,0.08684015274047852,0,--none--
1059,steplog,10,1458,1872,--none--
1059,steplog,20,1561,1630,--none--
1059,steplog,30,1598,1626,--none--
1059,steplog,36,1626,1626,status:optimal
1059,timelog,36,0.08173203468322754,0,--none--
105,steplog,10,618,693,--none--
105,steplog,20,658,691,--none--
105,steplog,30,673,682,--none--
105,steplog,40,676,677,--none--
105,steplog,41,677,677,status:optimal
105,timelog,41,0.0886695384979248,0,--none--
1060,steplog,10,1251,1452,--none--
1060,steplog,20,1336,1409,--none--
1060,steplog,30,1359,1409,--none--
1060,steplog,40,1385,1403,--none--
1060,steplog,50,1396,1401,--none--
1060,steplog,60,1399,1401,--none--
1060,steplog,70,1400,1401,--none--
1060,steplog,70,1401,1401,status:optimal
1060,timelog,70,0.13846111297607422,0,--none--
1061,steplog,10,1576,1813,--none--
1061,steplog,20,1697,1722,--none--
1061,steplog,30,1717,1718,--none--
1061,steplog,30,1718,1718,status:optimal
1061,timelog,30,0.07013535499572754,0,--none--
1062,steplog,10,3364,3792,--none--
1062,steplog,20,3555,3604,--none--
1062,steplog,27,3604,3604,status:optimal
1062,timelog,27,0.061376333236694336,0,--none--
1063,steplog,10,539,705,--none--
1063,steplog,20,686,696,--none--
1063,steplog,30,694,695,--none--
1063,steplog,30,695,695,status:optimal
1063,timelog,30,0.07557463645935059,0,--none--
1064,steplog,10,2386,2614,--none--
1064,steplog,20,2494,2551,--none--
1064,steplog,30,2535,2549,--none--
1064,steplog,34,2549,2549,status:optimal
1064,timelog,34,0.07065677642822266,0,--none--
1065,steplog,10,229,413,--none--
1065,steplog,20,291,355,--none--
1065,steplog,30,309,343,--none--
1065,steplog,40,331,340,--none--
1065,steplog,50,336,337,--none--
1065,steplog,51,337,337,status:optimal
1065,timelog,51,0.11093306541442871,0,--none--
1066,steplog,10,853,1019,--none--
1066,steplog,20,929,996,--none--
1066,steplog,30,950,993,--none--
1066,steplog,40,966,988,--none--
1066,steplog,50,982,988,--none--
1066,steplog,59,988,988,status:optimal
1066,timelog,59,0.19208788871765137,0,--none--
1067,steplog,10,376,493,--none--
1067,steplog,20,410,461,--none--
1067,steplog,30,427,451,--none--
1067,steplog,40,440,451,--none--
1067,steplog,50,445,447,--none--
1067,steplog,54,446,446,status:optimal
1067,timelog,54,0.11555075645446777,0,--none--
1068,steplog,10,456,509,--none--
1068,steplog,20,473,497,--none--
1068,steplog,30,486,497,--none--
1068,steplog,38,496,496,status:optimal
1068,timelog,38,0.07488584518432617,0,--none--
1069,steplog,10,1389,1478,--none--
1069,steplog,20,1430,1442,--none--
1069,steplog,25,1437,1437,status:optimal
1069,timelog,25,0.05737805366516113,0,--none--
106,steplog,10,696,770,--none--
106,steplog,20,728,770,--none--
106,steplog,30,762,770,--none--
106,steplog,32,770,770,status:optimal
106,timelog,32,0.06628012657165527,0,--none--
1070,steplog,10,2304,2706,--none--
1070,steplog,20,2583,2656,--none--
1070,steplog,30,2653,2656,--none--
1070,steplog,30,2656,2656,status:optimal
1070,timelog,30,0.06764721870422363,0,--none--
1071,steplog,10,1029,1193,--none--
1071,steplog,20,1141,1174,--none--
1071,steplog,30,1163,1172,--none--
1071,steplog,38,1171,1171,status:optimal
1071,timelog,38,0.07921481132507324,0,--none--
1072,steplog,10,493,561,--none--
1072,steplog,20,527,557,--none--
1072,steplog,30,549,557,--none--
1072,steplog,36,553,553,status:optimal
1072,timelog,36,0.07819509506225586,0,--none--
1073,steplog,10,2240,2324,--none--
1073,steplog,20,2298,2301,--none--
1073,steplog,23,2301,2301,status:optimal
1073,timelog,23,0.053934574127197266,0,--none--
1074,steplog,10,888,1047,--none--
1074,steplog,20,930,1031,--none--
1074,steplog,30,951,982,--none--
1074,steplog,40,962,982,--none--
1074,steplog,50,973,978,--none--
1074,steplog,54,978,978,status:optimal
1074,timelog,54,0.12017059326171875,0,--none--
1075,steplog,10,1528,1665,--none--
1075,steplog,20,1590,1632,--none--
1075,steplog,30,1603,1628,--none--
1075,steplog,40,1610,1628,--none--
1075,steplog,50,1618,1628,--none--
1075,steplog,60,1622,1628,--none--
1075,steplog,70,1626,1628,--none--
1075,steplog,78,1628,1628,status:optimal
1075,timelog,78,0.15245413780212402,0,--none--
1076,steplog,10,1768,2374,--none--
1076,steplog,20,1946,2106,--none--
1076,steplog,30,2060,2106,--none--
1076,steplog,40,2102,2103,--none--
1076,steplog,40,2103,2103,status:optimal
1076,timelog,40,0.0871732234954834,0,--none--
1077,steplog,10,1106,1163,--none--
1077,steplog,20,1156,1159,--none--
1077,steplog,22,1158,1158,status:optimal
1077,timelog,22,0.046961069107055664,0,--none--
1078,steplog,10,1373,1686,--none--
1078,steplog,20,1519,1647,--none--
1078,steplog,30,1592,1619,--none--
1078,steplog,40,1608,1609,--none--
1078,steplog,40,1609,1609,status:optimal
1078,timelog,40,0.08584141731262207,0,--none--
1079,steplog,10,1816,1997,--none--
1079,steplog,20,1916,1997,--none--
