run,k,n,method,step,time
test,31,5,CPP,BDD-align-to-vs,1.6
test,31,5,CPP,intersection-build,0.1
test,31,5,CPP,intersection-SP-solve,0.0
test,31,5,CPP,BDD-align-gsifts,14.7
test,31,5,CPP,intersection-gsifts-build,0.1
test,31,5,CPP,intersection-gsifts-SP-solve,0.0
test,32,5,gen_instance,all, 1.8
test,32,5,plain_MIP,build+solve,0.4
test,32,5,CPP,BDD-build,2.7
test,32,5,CPP,MIP-build,1.2
test,32,5,CPP,MIP-solve,0.3
test,32,5,CPP,VS-build+solve,0.4
test,32,5,CPP,BDD-align-to-vs,1.1
test,32,5,CPP,intersection-build,0.1
test,32,5,CPP,intersection-SP-solve,0.0
test,32,5,CPP,BDD-align-gsifts,12.3
test,32,5,CPP,intersection-gsifts-build,0.1
test,32,5,CPP,intersection-gsifts-SP-solve,0.0
test,33,5,gen_instance,all, 2.1
test,33,5,plain_MIP,build+solve,0.6
test,33,5,CPP,BDD-build,3.2
test,33,5,CPP,MIP-build,1.4
test,33,5,CPP,MIP-solve,0.4
test,33,5,CPP,VS-build+solve,1.1
test,33,5,CPP,BDD-align-to-vs,1.4
test,33,5,CPP,intersection-build,0.1
test,33,5,CPP,intersection-SP-solve,0.0
test,33,5,CPP,BDD-align-gsifts,10.3
test,33,5,CPP,intersection-gsifts-build,0.1
test,33,5,CPP,intersection-gsifts-SP-solve,0.0
test,34,5,gen_instance,all, 1.8
test,34,5,plain_MIP,build+solve,0.5
test,34,5,CPP,BDD-build,2.4
test,34,5,CPP,MIP-build,1.2
test,34,5,CPP,MIP-solve,0.2
test,34,5,CPP,VS-build+solve,0.8
test,34,5,CPP,BDD-align-to-vs,1.3
test,34,5,CPP,intersection-build,0.2
test,34,5,CPP,intersection-SP-solve,0.0
test,34,5,CPP,BDD-align-gsifts,11.9
test,34,5,CPP,intersection-gsifts-build,0.1
test,34,5,CPP,intersection-gsifts-SP-solve,0.0
test,35,5,gen_instance,all, 1.9
test,35,5,plain_MIP,build+solve,0.4
test,35,5,CPP,BDD-build,2.6
test,35,5,CPP,MIP-build,1.4
test,35,5,CPP,MIP-solve,0.3
test,35,5,CPP,VS-build+solve,0.4
test,35,5,CPP,BDD-align-to-vs,1.1
test,35,5,CPP,intersection-build,0.1
test,35,5,CPP,intersection-SP-solve,0.0
test,35,5,CPP,BDD-align-gsifts,11.8
test,35,5,CPP,intersection-gsifts-build,0.2
test,35,5,CPP,intersection-gsifts-SP-solve,0.0
test,36,5,gen_instance,all, 2.4
test,36,5,plain_MIP,build+solve,0.5
test,36,5,CPP,BDD-build,3.6
test,36,5,CPP,MIP-build,1.4
test,36,5,CPP,MIP-solve,0.2
test,36,5,CPP,VS-build+solve,2.2
test,36,5,CPP,BDD-align-to-vs,1.3
test,36,5,CPP,intersection-build,0.1
test,36,5,CPP,intersection-SP-solve,0.0
test,36,5,CPP,BDD-align-gsifts,12.5
test,36,5,CPP,intersection-gsifts-build,0.1
test,36,5,CPP,intersection-gsifts-SP-solve,0.0
test,37,5,gen_instance,all, 3.5
test,37,5,plain_MIP,build+solve,0.5
test,37,5,CPP,BDD-build,4.6
test,37,5,CPP,MIP-build,2.0
test,37,5,CPP,MIP-solve,0.6
test,37,5,CPP,VS-build+solve,0.5
test,37,5,CPP,BDD-align-to-vs,1.2
test,37,5,CPP,intersection-build,0.1
test,37,5,CPP,intersection-SP-solve,0.0
test,37,5,CPP,BDD-align-gsifts,11.6
test,37,5,CPP,intersection-gsifts-build,0.1
test,37,5,CPP,intersection-gsifts-SP-solve,0.0
test,38,5,gen_instance,all, 2.2
test,38,5,plain_MIP,build+solve,0.7
test,38,5,CPP,BDD-build,3.5
test,38,5,CPP,MIP-build,1.6
test,38,5,CPP,MIP-solve,0.7
test,38,5,CPP,VS-build+solve,2.1
test,38,5,CPP,BDD-align-to-vs,2.0
test,38,5,CPP,intersection-build,0.1
test,38,5,CPP,intersection-SP-solve,0.0
test,38,5,CPP,BDD-align-gsifts,14.1
test,38,5,CPP,intersection-gsifts-build,0.1
test,38,5,CPP,intersection-gsifts-SP-solve,0.0
test,39,5,gen_instance,all, 2.1
test,39,5,plain_MIP,build+solve,0.6
test,39,5,CPP,BDD-build,2.7
test,39,5,CPP,MIP-build,1.3
test,39,5,CPP,MIP-solve,0.4
test,39,5,CPP,VS-build+solve,0.5
test,39,5,CPP,BDD-align-to-vs,1.1
test,39,5,CPP,intersection-build,0.1
test,39,5,CPP,intersection-SP-solve,0.0
test,39,5,CPP,BDD-align-gsifts,14.4
test,39,5,CPP,intersection-gsifts-build,0.1
test,39,5,CPP,intersection-gsifts-SP-solve,0.0
test,40,5,gen_instance,all, 2.1
test,40,5,plain_MIP,build+solve,0.5
test,40,5,CPP,BDD-build,3.2
test,40,5,CPP,MIP-build,1.4
test,40,5,CPP,MIP-solve,0.4
test,40,5,CPP,VS-build+solve,0.5
test,40,5,CPP,BDD-align-to-vs,1.5
test,40,5,CPP,intersection-build,0.1
test,40,5,CPP,intersection-SP-solve,0.0
test,40,5,CPP,BDD-align-gsifts,12.8
test,40,5,CPP,intersection-gsifts-build,0.1
test,40,5,CPP,intersection-gsifts-SP-solve,0.0
test,41,5,gen_instance,all, 4.1
test,41,5,plain_MIP,build+solve,0.4
test,41,5,CPP,BDD-build,3.3
