N,instance,num_type,value,comment
9,1048,orig_simpl_obj,76,--none--
9,1048,orig_gsifts1p_time,0.025111913681030273,--none--
9,1048,orig_gsifts1p_obj,68,--none--
9,1049,simpl_opt_status,0,optimal
9,1049,orig_simpl_time,0.01599431037902832,--none--
9,1049,orig_simpl_obj,90,--none--
9,1049,orig_gsifts1p_time,0.029633522033691406,--none--
9,1049,orig_gsifts1p_obj,84,--none--
5,104,simpl_opt_status,0,optimal
5,104,orig_simpl_time,0.005971670150756836,--none--
5,104,orig_simpl_obj,17,--none--
5,104,orig_gsifts1p_time,0.0043087005615234375,--none--
5,104,orig_gsifts1p_obj,16,--none--
9,1050,simpl_opt_status,0,optimal
9,1050,orig_simpl_time,0.03953695297241211,--none--
9,1050,orig_simpl_obj,91,--none--
9,1050,orig_gsifts1p_time,0.0239865779876709,--none--
9,1050,orig_gsifts1p_obj,69,--none--
9,1051,simpl_opt_status,0,optimal
9,1051,orig_simpl_time,0.015456199645996094,--none--
9,1051,orig_simpl_obj,85,--none--
9,1051,orig_gsifts1p_time,0.02510809898376465,--none--
9,1051,orig_gsifts1p_obj,75,--none--
9,1052,simpl_opt_status,0,optimal
9,1052,orig_simpl_time,0.01412200927734375,--none--
9,1052,orig_simpl_obj,74,--none--
9,1052,orig_gsifts1p_time,0.0240786075592041,--none--
9,1052,orig_gsifts1p_obj,68,--none--
9,1053,simpl_opt_status,0,optimal
9,1053,orig_simpl_time,0.01667022705078125,--none--
9,1053,orig_simpl_obj,94,--none--
9,1053,orig_gsifts1p_time,0.030301332473754883,--none--
9,1053,orig_gsifts1p_obj,94,--none--
9,1054,simpl_opt_status,0,optimal
9,1054,orig_simpl_time,0.01994490623474121,--none--
9,1054,orig_simpl_obj,78,--none--
9,1054,orig_gsifts1p_time,0.025767087936401367,--none--
9,1054,orig_gsifts1p_obj,78,--none--
9,1055,simpl_opt_status,0,optimal
9,1055,orig_simpl_time,0.017923593521118164,--none--
9,1055,orig_simpl_obj,100,--none--
9,1055,orig_gsifts1p_time,0.028293132781982422,--none--
9,1055,orig_gsifts1p_obj,87,--none--
9,1056,simpl_opt_status,0,optimal
9,1056,orig_simpl_time,0.03488945960998535,--none--
9,1056,orig_simpl_obj,91,--none--
9,1056,orig_gsifts1p_time,0.03262472152709961,--none--
9,1056,orig_gsifts1p_obj,79,--none--
9,1057,simpl_opt_status,0,optimal
9,1057,orig_simpl_time,0.016946077346801758,--none--
9,1057,orig_simpl_obj,33,--none--
9,1057,orig_gsifts1p_time,0.010095357894897461,--none--
9,1057,orig_gsifts1p_obj,29,--none--
9,1058,simpl_opt_status,0,optimal
9,1058,orig_simpl_time,0.027877330780029297,--none--
9,1058,orig_simpl_obj,118,--none--
9,1058,orig_gsifts1p_time,0.034384727478027344,--none--
9,1058,orig_gsifts1p_obj,96,--none--
9,1059,simpl_opt_status,0,optimal
9,1059,orig_simpl_time,0.018275976181030273,--none--
9,1059,orig_simpl_obj,71,--none--
9,1059,orig_gsifts1p_time,0.026774168014526367,--none--
9,1059,orig_gsifts1p_obj,71,--none--
5,105,simpl_opt_status,0,optimal
5,105,orig_simpl_time,0.007309675216674805,--none--
5,105,orig_simpl_obj,17,--none--
5,105,orig_gsifts1p_time,0.0039234161376953125,--none--
5,105,orig_gsifts1p_obj,14,--none--
9,1060,simpl_opt_status,0,optimal
9,1060,orig_simpl_time,0.04149746894836426,--none--
9,1060,orig_simpl_obj,103,--none--
9,1060,orig_gsifts1p_time,0.03692936897277832,--none--
9,1060,orig_gsifts1p_obj,100,--none--
9,1061,simpl_opt_status,0,optimal
9,1061,orig_simpl_time,0.023882150650024414,--none--
9,1061,orig_simpl_obj,117,--none--
9,1061,orig_gsifts1p_time,0.036374807357788086,--none--
9,1061,orig_gsifts1p_obj,101,--none--
9,1062,simpl_opt_status,0,optimal
9,1062,orig_simpl_time,0.018492937088012695,--none--
9,1062,orig_simpl_obj,92,--none--
9,1062,orig_gsifts1p_time,0.029010295867919922,--none--
9,1062,orig_gsifts1p_obj,82,--none--
9,1063,simpl_opt_status,0,optimal
9,1063,orig_simpl_time,0.016866445541381836,--none--
9,1063,orig_simpl_obj,81,--none--
9,1063,orig_gsifts1p_time,0.025696277618408203,--none--
9,1063,orig_gsifts1p_obj,69,--none--
9,1064,simpl_opt_status,0,optimal
9,1064,orig_simpl_time,0.015509366989135742,--none--
9,1064,orig_simpl_obj,68,--none--
9,1064,orig_gsifts1p_time,0.021454811096191406,--none--
9,1064,orig_gsifts1p_obj,55,--none--
9,1065,simpl_opt_status,0,optimal
9,1065,orig_simpl_time,0.0235898494720459,--none--
9,1065,orig_simpl_obj,82,--none--
9,1065,orig_gsifts1p_time,0.026724815368652344,--none--
9,1065,orig_gsifts1p_obj,86,--none--
9,1066,simpl_opt_status,0,optimal
9,1066,orig_simpl_time,0.019220352172851562,--none--
9,1066,orig_simpl_obj,109,--none--
9,1066,orig_gsifts1p_time,0.03206133842468262,--none--
9,1066,orig_gsifts1p_obj,102,--none--
9,1067,simpl_opt_status,0,optimal
9,1067,orig_simpl_time,0.01904892921447754,--none--
9,1067,orig_simpl_obj,97,--none--
9,1067,orig_gsifts1p_time,0.032894134521484375,--none--
9,1067,orig_gsifts1p_obj,95,--none--
9,1068,simpl_opt_status,0,optimal
9,1068,orig_simpl_time,0.014934778213500977,--none--
9,1068,orig_simpl_obj,92,--none--
9,1068,orig_gsifts1p_time,0.023854970932006836,--none--
9,1068,orig_gsifts1p_obj,65,--none--
9,1069,simpl_opt_status,0,optimal
9,1069,orig_simpl_time,0.02339005470275879,--none--
9,1069,orig_simpl_obj,88,--none--
9,1069,orig_gsifts1p_time,0.02779841423034668,--none--
9,1069,orig_gsifts1p_obj,83,--none--
5,106,simpl_opt_status,0,optimal
5,106,orig_simpl_time,0.0040264129638671875,--none--
5,106,orig_simpl_obj,13,--none--
5,106,orig_gsifts1p_time,0.0034177303314208984,--none--
5,106,orig_gsifts1p_obj,13,--none--
9,1070,simpl_opt_status,0,optimal
9,1070,orig_simpl_time,0.02635979652404785,--none--
9,1070,orig_simpl_obj,130,--none--
9,1070,orig_gsifts1p_time,0.042372703552246094,--none--
9,1070,orig_gsifts1p_obj,136,--none--
9,1071,simpl_opt_status,0,optimal
9,1071,orig_simpl_time,0.02732682228088379,--none--
9,1071,orig_simpl_obj,93,--none--
9,1071,orig_gsifts1p_time,0.027058839797973633,--none--
9,1071,orig_gsifts1p_obj,83,--none--
9,1072,simpl_opt_status,0,optimal
9,1072,orig_simpl_time,0.019902706146240234,--none--
9,1072,orig_simpl_obj,54,--none--
9,1072,orig_gsifts1p_time,0.016141176223754883,--none--
9,1072,orig_gsifts1p_obj,45,--none--
9,1073,simpl_opt_status,0,optimal
9,1073,orig_simpl_time,0.01639580726623535,--none--
9,1073,orig_simpl_obj,83,--none--
9,1073,orig_gsifts1p_time,0.027475357055664062,--none--
9,1073,orig_gsifts1p_obj,80,--none--
9,1074,simpl_opt_status,0,optimal
9,1074,orig_simpl_time,0.014367818832397461,--none--
9,1074,orig_simpl_obj,47,--none--
9,1074,orig_gsifts1p_time,0.015345335006713867,--none--
