k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
736, optimal, 40.0, 4, 13.3, 53.3, 46.7, 0.5
737, optimal, 53.3, 4, 13.3, 66.7, 53.3, 0.4
738, optimal, 20.0, 8, 26.7, 80.0, 53.3, 0.5
739, optimal, 53.3, 2, 6.7, 73.3, 73.3, 0.5
740, optimal, 46.7, 8, 100.0, 80.0, 33.3, 0.5
741, optimal, 66.7, 120, 66.7, 100.0, 33.3, 0.5
742, optimal, 33.3, 4, 13.3, 40.0, 33.3, 0.4
743, optimal, 33.3, 4, 13.3, 80.0, 66.7, 0.5
744, optimal, 46.7, 8, 40.0, 86.7, 46.7, 0.5
745, optimal, 13.3, 36, 40.0, 60.0, 20.0, 0.5
746, optimal, 40.0, 6, 26.7, 73.3, 53.3, 0.5
747, optimal, 60.0, 8, 26.7, 93.3, 73.3, 0.5
748, optimal, 53.3, 12, 26.7, 93.3, 66.7, 0.5
749, optimal, 20.0, 4, 13.3, 40.0, 26.7, 0.5
750, optimal, 40.0, 1, 0.0, 73.3, 73.3, 0.6
751, optimal, 26.7, 34, 86.7, 100.0, 33.3, 0.7
752, optimal, 60.0, 8, 20.0, 100.0, 80.0, 0.4
753, optimal, 66.7, 5, 66.7, 93.3, 60.0, 0.6
754, optimal, 66.7, 4, 13.3, 100.0, 93.3, 0.5
755, optimal, 66.7, 6, 26.7, 60.0, 46.7, 0.5
756, optimal, 66.7, 12, 33.3, 100.0, 66.7, 0.5
757, optimal, 60.0, 3, 53.3, 73.3, 66.7, 0.6
758, optimal, 53.3, 48, 46.7, 66.7, 26.7, 0.4
759, optimal, 46.7, 12, 26.7, 86.7, 60.0, 0.4
760, optimal, 40.0, 2, 6.7, 66.7, 66.7, 0.6
761, optimal, 46.7, 4, 20.0, 80.0, 73.3, 0.6
762, optimal, 26.7, 120, 66.7, 100.0, 33.3, 0.5
763, optimal, 66.7, 3, 13.3, 93.3, 86.7, 0.6
764, optimal, 33.3, 4, 13.3, 73.3, 60.0, 0.4
765, optimal, 40.0, 6, 20.0, 93.3, 80.0, 0.5
